,POS,Product,Model_MSE,Benchmark_MSE,Model_MAPE,Benchmark_MAPE
0,92,993,158.43297797406166,175.25673469387755,0.3037557687990911,0.3244671295723966
0,92,1147,569.1115481630734,612.7763265306122,0.4916134041803403,0.5275069900985065
0,92,1234,1110.619685838504,1658.3775510204077,0.4558031434062787,0.5125272079865986
0,92,2802,427.6023712769813,349.6191836734693,0.24837921468590346,0.20538152673645682
0,92,847,456.2972722175796,319.3061224489795,0.3117338498141498,0.27448615851309427
0,92,226,460.1463052720989,388.64816326530604,0.2662937148589166,0.2567175138821659
0,92,1422,251.92184706883418,209.43551020408165,0.42004853098412276,0.4129878820829633
0,103,1277,292.1843511657204,194.3714285714286,0.1914977235005341,0.1534295118941492
0,103,2609,287.87372469649165,243.11918367346934,0.1284510802663039,0.11696667248296443
0,103,481,460.475505761553,1085.071428571429,0.31528273797445466,0.4940011121960918
0,103,993,432.65328219525804,930.3036734693878,0.1468187219598724,0.2029699279720013
0,103,1147,230.9703552773676,482.2808163265306,0.33103274887361595,0.4259749320648977
0,103,1234,750.6194093036978,1749.0591836734693,0.2776270312681995,0.3974094912795725
0,103,2802,228.95257672178752,173.07836734693882,0.14270065415425032,0.12784911011687938
0,103,847,344.6075161754586,231.9497959183673,0.21695856645939834,0.17578960902168098
0,103,226,1926.8450889413082,1473.1812244897963,0.12617054045819442,0.10895769579171583
0,103,1422,860.941565204224,688.3689795918368,0.23649383110440872,0.20528758944339043
0,383,1277,277.8984232782919,230.0926530612245,0.22361871996097546,0.21629544894669483
0,383,2609,152.75516747590072,118.7395918367347,0.19576267143752843,0.15771910509656514
0,383,481,305.95505069546175,749.7338775510204,0.21325085925441312,0.31277479920693596
0,383,993,317.6804896399407,622.0808163265307,0.2172311847173296,0.25095901586756075
0,383,1147,502.3964940078243,2153.0020408163255,0.18201287920160392,0.3302825238729267
0,383,1234,320.7543290584002,831.0477551020408,0.21496521893837703,0.3422458752256719
0,383,2802,146.51727262381718,118.70816326530614,0.18706225098036963,0.17147470088540445
0,383,847,168.28185335082125,127.10285714285713,0.18766374479785075,0.1680472753510616
