,Date,Actual,Forecast,Benchmark,POS,Product
36,2019-08-04 00:00:00,39.0,20.84585276579952,43.42857142857143,292,481
37,2019-08-11 00:00:00,51.0,37.10548493423306,40.57142857142857,292,481
38,2019-08-18 00:00:00,45.0,46.88015910596977,39.0,292,481
39,2019-08-25 00:00:00,38.0,44.28250336085018,38.857142857142854,292,481
40,2019-09-01 00:00:00,28.0,40.410658890646786,38.714285714285715,292,481
41,2019-09-08 00:00:00,46.0,26.539780576390054,35.714285714285715,292,481
42,2019-09-15 00:00:00,80.0,41.24536999328318,37.857142857142854,292,481
43,2019-09-22 00:00:00,61.0,78.83307600792531,46.714285714285715,292,481
44,2019-09-29 00:00:00,110.0,65.77997662441534,49.857142857142854,292,481
45,2019-10-06 00:00:00,144.0,103.13245605905739,58.285714285714285,292,481
46,2019-10-13 00:00:00,137.0,138.46708244550678,72.42857142857143,292,481
47,2019-10-20 00:00:00,140.0,136.06963190783512,86.57142857142857,292,481
48,2019-10-27 00:00:00,167.0,142.42134846492678,102.57142857142857,292,481
49,2019-11-03 00:00:00,100.0,169.5729259599821,119.85714285714286,292,481
0,2018-11-25 00:00:00,162.0,144.50879570611156,122.57142857142857,292,993
1,2018-12-02 00:00:00,145.0,157.6394245579293,133.42857142857142,292,993
2,2018-12-09 00:00:00,129.0,146.1626444494778,137.28571428571428,292,993
3,2018-12-16 00:00:00,177.0,130.86685864607534,140.28571428571428,292,993
4,2018-12-23 00:00:00,222.0,172.14245427086834,145.0,292,993
5,2018-12-30 00:00:00,220.0,216.29677954605037,159.57142857142858,292,993
6,2019-01-06 00:00:00,216.0,217.55795955479252,171.85714285714286,292,993
7,2019-01-13 00:00:00,195.0,217.0285720233249,181.57142857142858,292,993
8,2019-01-20 00:00:00,241.0,200.42363385748092,186.28571428571428,292,993
9,2019-01-27 00:00:00,237.0,236.64258757542154,200.0,292,993
10,2019-02-03 00:00:00,263.0,235.50663092632053,215.42857142857142,292,993
11,2019-02-10 00:00:00,201.0,255.98650093969897,227.71428571428572,292,993
12,2019-02-17 00:00:00,167.0,208.80605487394484,224.71428571428572,292,993
13,2019-02-24 00:00:00,136.0,173.7575697950877,217.14285714285714,292,993
14,2019-03-03 00:00:00,160.0,140.7328179416274,205.71428571428572,292,993
15,2019-03-10 00:00:00,116.0,152.72417557512094,200.71428571428572,292,993
16,2019-03-17 00:00:00,142.0,120.39204174814049,182.85714285714286,292,993
17,2019-03-24 00:00:00,128.0,138.90047188288514,169.28571428571428,292,993
18,2019-03-31 00:00:00,120.0,135.40966885892422,150.0,292,993
19,2019-04-07 00:00:00,100.0,123.35590941950659,138.42857142857142,292,993
20,2019-04-14 00:00:00,99.0,102.59139923646961,128.85714285714286,292,993
21,2019-04-21 00:00:00,78.0,97.67689075710946,123.57142857142857,292,993
22,2019-04-28 00:00:00,83.0,85.88271524779167,111.85714285714286,292,993
23,2019-05-05 00:00:00,87.0,82.44689727305321,107.14285714285714,292,993
24,2019-05-12 00:00:00,121.0,86.73187329864639,99.28571428571429,292,993
25,2019-05-19 00:00:00,88.0,112.72730303631296,98.28571428571429,292,993
26,2019-05-26 00:00:00,72.0,91.59310228943339,93.71428571428571,292,993
27,2019-06-02 00:00:00,91.0,74.31505636447724,89.71428571428571,292,993
28,2019-06-09 00:00:00,91.0,90.62796441712075,88.57142857142857,292,993
29,2019-06-16 00:00:00,69.0,86.96974266995124,90.42857142857143,292,993
30,2019-06-23 00:00:00,60.0,71.59312927691029,88.42857142857143,292,993
31,2019-06-30 00:00:00,64.0,59.32836278458091,84.57142857142857,292,993
32,2019-07-07 00:00:00,77.0,67.75241659317808,76.42857142857143,292,993
